time_since_start,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,lat,lon,speed_gt,heading_gt
9.177,-0.77812,3.83072,7.25683,0.20036,-0.38607,-0.25412,31.2536873,75.7039358,0.760,262.00
9.285,-0.26097,3.07894,9.26317,0.60720,0.63041,0.01894,31.2536873,75.7039358,0.760,262.00
9.396,1.62566,3.89537,9.20331,-0.73059,0.32987,-0.36224,31.2536873,75.7039358,0.760,262.00
9.507,0.19393,3.34949,10.87925,-0.26389,0.16188,-0.51679,31.2536873,75.7039358,0.760,262.00
9.617,-0.42377,3.89297,7.47470,0.03299,-0.62919,-0.48503,31.2536876,75.7039273,0.690,261.60
9.727,0.63925,3.63919,9.38288,-0.52595,0.12645,-0.26695,31.2536876,75.7039273,0.690,261.60
9.841,-1.87227,4.21619,9.19134,0.67928,-0.19059,-0.25107,31.2536876,75.7039273,0.690,261.60
9.951,-1.78129,4.11563,8.02776,0.02749,0.26573,0.34208,31.2536876,75.7039273,0.690,261.60
10.061,-1.78607,3.85227,10.56322,-0.95661,0.59743,1.08551,31.2536876,75.7039273,0.690,261.60
10.170,-1.00796,3.15316,10.57519,0.07086,-0.02810,0.52351,31.2536876,75.7039273,0.690,261.60
10.281,0.02873,3.44047,7.52498,0.08980,-0.50213,0.28772,31.2536876,75.7039273,0.690,261.60
10.391,0.20111,3.22020,9.85932,-0.21747,-0.41172,0.40134,31.2536876,75.7039273,0.690,261.60
10.502,0.65362,3.50511,8.44196,0.44715,-0.55283,-0.42455,31.2536876,75.7039273,0.690,261.60
10.613,1.57299,3.25851,7.54892,0.17715,-0.24740,-0.58093,31.2536883,75.7039189,0.660,268.50
10.721,0.85712,3.04782,9.91918,-0.10018,-0.51129,-0.08552,31.2536883,75.7039189,0.660,268.50
10.831,2.11887,3.66073,7.02219,-0.04093,-0.70494,-0.30482,31.2536883,75.7039189,0.660,268.50
10.940,1.72143,4.30956,9.51935,-0.11668,0.45815,0.12462,31.2536883,75.7039189,0.660,268.50
11.049,0.15083,3.56257,9.75158,0.44410,-0.57666,-0.25290,31.2536883,75.7039189,0.660,268.50
11.162,-0.04070,3.84509,8.29591,0.08186,0.05376,-0.02443,31.2536883,75.7039189,0.660,268.50
11.271,-0.28491,4.38378,12.21282,-0.56016,1.51250,0.36957,31.2536883,75.7039189,0.660,268.50
11.378,-0.16281,3.48596,8.07804,0.84055,-0.30299,-0.00855,31.2536883,75.7039189,0.660,268.50
11.487,0.21548,3.52666,7.24246,0.68845,-0.10934,-0.09224,31.2536883,75.7039189,0.660,268.50
11.600,-5.11641,6.56490,6.27999,-0.78802,-1.23273,-1.80450,31.2536873,75.7039107,0.740,271.10
11.709,3.95283,3.45962,10.36211,0.23091,1.23822,-0.24374,31.2536873,75.7039107,0.740,271.10
11.822,0.95768,3.87621,9.00220,-0.55772,-0.84238,-0.36530,31.2536873,75.7039107,0.740,271.10
11.932,0.96486,3.85706,9.23683,0.24007,-0.46609,-0.70983,31.2536873,75.7039107,0.740,271.10
12.043,-0.08380,4.73813,7.80989,0.40073,0.63225,-0.46304,31.2536873,75.7039107,0.740,271.10
12.153,-0.59376,5.77721,6.91445,0.19120,-0.23091,-0.44043,31.2536873,75.7039107,0.740,271.10
12.264,-1.33836,5.70538,8.66701,0.05131,0.32376,-0.17287,31.2536873,75.7039107,0.740,271.10
12.374,-2.27928,4.85544,8.61434,-0.26512,0.91080,-0.21441,31.2536873,75.7039107,0.740,271.10
12.488,-2.94487,3.42850,8.48266,-0.19242,-0.88759,0.18998,31.2536873,75.7039107,0.740,271.10
12.598,-2.31998,3.16274,10.07241,-0.20403,0.47098,0.25107,31.2536865,75.7038985,0.770,277.90
12.708,-1.39821,4.13479,7.60159,0.32193,-0.31521,0.41172,31.2536865,75.7038985,0.770,277.90
12.818,-0.53391,4.68785,7.97748,0.26267,0.03421,0.22907,31.2536865,75.7038985,0.770,277.90
12.930,0.01676,3.96001,7.77876,-0.30971,0.10446,-0.41539,31.2536865,75.7038985,0.770,277.90
13.039,-0.91459,3.30160,9.66539,-1.58031,-1.67560,-1.22845,31.2536865,75.7038985,0.770,277.90
13.151,1.13725,3.33033,11.25275,0.17165,-0.24312,-0.37874,31.2536865,75.7038985,0.770,277.90
13.261,0.20351,2.76530,8.24084,0.20281,-0.09041,-0.89736,31.2536865,75.7038985,0.770,277.90
13.377,-1.38145,3.84509,8.00621,0.01283,-0.03910,-0.38851,31.2536865,75.7038985,0.770,277.90
13.486,-1.61848,4.39097,9.15064,0.18631,0.21930,-0.08735,31.2536865,75.7038985,0.770,277.90
13.600,-0.50039,4.28802,10.27831,-0.41722,-0.43555,-0.39828,31.2536875,75.7038877,0.730,275.00
13.709,-1.28329,1.30484,12.61265,-0.04093,0.52718,-0.52779,31.2536875,75.7038877,0.730,275.00
13.820,-1.53468,1.21147,7.74524,0.35186,-0.12095,0.04398,31.2536875,75.7038877,0.730,275.00
13.929,-2.68869,1.98719,8.67659,-0.20586,0.38362,0.07330,31.2536875,75.7038877,0.730,275.00
14.041,-1.22583,3.25851,8.53054,0.39767,0.28222,0.02199,31.2536875,75.7038877,0.730,275.00
14.151,0.45250,3.94804,8.20014,0.32315,-0.51007,-0.32865,31.2536875,75.7038877,0.730,275.00
14.262,-1.12049,3.35188,7.25443,-0.04459,-0.12767,-0.70738,31.2536875,75.7038877,0.730,275.00
14.371,-0.78051,3.09331,12.35169,-0.93462,1.32680,-0.44899,31.2536875,75.7038877,0.730,275.00
14.481,-2.00155,1.73340,8.63589,0.48014,0.32559,-0.57116,31.2536875,75.7038877,0.730,275.00
14.598,-3.37104,3.45962,6.90967,0.05681,0.23152,0.01894,31.2536880,75.7038749,0.760,272.60
14.709,-2.49715,4.20661,9.28950,0.21502,0.00305,0.53878,31.2536880,75.7038749,0.760,272.60
14.820,-4.15873,3.96240,8.82982,0.19975,0.25168,0.41111,31.2536880,75.7038749,0.760,272.60
14.930,-5.08768,2.36787,11.94707,-1.31458,-0.07575,-0.08796,31.2536880,75.7038749,0.760,272.60
15.039,-3.06697,2.04225,7.41484,2.02135,-0.45998,1.57053,31.2536880,75.7038749,0.760,272.60
15.148,-2.56419,2.73897,8.34140,-0.31948,1.02259,0.71532,31.2536880,75.7038749,0.760,272.60
15.259,-1.84354,3.98395,7.23288,0.22052,0.32803,0.63347,31.2536880,75.7038749,0.760,272.60
15.368,-1.71425,3.69904,8.19775,-0.09713,0.54795,-0.27794,31.2536880,75.7038749,0.760,272.60
15.478,-1.09654,4.82192,6.71334,-0.22297,-0.48747,-0.39828,31.2536880,75.7038749,0.760,272.60
15.589,-1.26174,4.11563,10.76433,-0.04154,0.28588,0.51618,31.2536879,75.7038674,0.700,268.00
15.699,-0.50039,4.81474,6.83784,0.19792,-0.13378,-0.47098,31.2536879,75.7038674,0.700,268.00
15.809,-2.84192,5.06852,8.93037,0.01955,-0.25534,-0.18570,31.2536879,75.7038674,0.700,268.00
15.919,-2.73178,5.46117,7.92241,0.45326,-0.16921,0.17165,31.2536879,75.7038674,0.700,268.00
16.028,-3.51708,5.19781,9.23922,0.45571,0.17471,0.55589,31.2536879,75.7038674,0.700,268.00
16.137,-2.22900,3.19147,13.12980,-0.29993,0.77763,0.63408,31.2536879,75.7038674,0.700,268.00
16.247,-2.71742,3.50032,6.98149,0.20036,0.07575,0.54917,31.2536879,75.7038674,0.700,268.00
16.359,-3.11486,3.79960,7.21373,0.04093,0.61148,0.26267,31.2536879,75.7038674,0.700,268.00
16.469,-0.84036,4.20901,7.72130,0.09529,-0.03482,0.37324,31.2536879,75.7038674,0.700,268.00
16.577,-0.76854,4.31196,7.40527,-0.16493,-0.17593,-0.51679,31.2536884,75.7038604,1.000,267.30
16.688,-5.15232,2.99515,8.78193,-0.89064,-1.75929,-2.36955,31.2536884,75.7038604,1.000,267.30
16.798,-0.44532,3.98874,9.37809,0.15272,-0.61025,0.40256,31.2536884,75.7038604,1.000,267.30
16.915,-0.70390,3.39737,9.29908,-0.52168,-0.17471,-0.72388,31.2536884,75.7038604,1.000,267.30
17.024,-0.62968,4.86262,9.64145,0.59865,-0.65363,-0.01283,31.2536884,75.7038604,1.000,267.30
17.136,-2.51631,4.99191,8.75799,0.85094,-0.08735,0.04215,31.2536884,75.7038604,1.000,267.30
17.246,-0.11013,4.96557,9.34457,0.46853,0.34575,0.66829,31.2536884,75.7038604,1.000,267.30
17.358,-0.22984,3.51708,11.39401,0.79779,0.84788,0.96822,31.2536884,75.7038604,1.000,267.30
17.467,-0.18914,3.87621,8.08043,0.14355,0.65485,0.66279,31.2536884,75.7038604,1.000,267.30
17.581,-0.48123,4.51307,6.70855,0.30971,0.60903,0.34880,31.2536881,75.7038462,0.960,268.00
17.691,0.37589,5.49948,7.31907,0.18021,-0.10385,0.46914,31.2536881,75.7038462,0.960,268.00
17.803,1.30963,5.61440,7.35978,-0.38179,0.49297,-0.46120,31.2536881,75.7038462,0.960,268.00
17.912,-2.70784,5.59046,8.24802,-0.94562,-0.79535,-0.32132,31.2536881,75.7038462,0.960,268.00
18.027,0.75178,4.41730,9.66779,0.42028,-0.27000,-0.16493,31.2536881,75.7038462,0.960,268.00
18.137,2.09493,4.71897,7.86016,0.29993,-0.33659,-0.20220,31.2536881,75.7038462,0.960,268.00
18.252,0.29209,5.77481,6.87136,-0.37141,-0.13439,-0.42028,31.2536881,75.7038462,0.960,268.00
18.362,-0.91937,6.41407,8.34858,-0.18815,-0.22358,-0.18692,31.2536881,75.7038462,0.960,268.00
18.474,-1.67594,5.65032,9.69891,-0.03421,0.37751,0.46670,31.2536881,75.7038462,0.960,268.00
18.583,-0.18914,4.46997,11.66455,-0.32742,-0.21808,0.77397,31.2536872,75.7038367,0.710,270.30
18.692,-1.18274,4.39336,8.08522,0.14416,0.54062,0.50946,31.2536872,75.7038367,0.710,270.30
18.802,-1.09176,3.98635,9.31344,0.10812,0.34392,0.42333,31.2536872,75.7038367,0.710,270.30
18.911,-0.93853,4.55377,6.12437,0.02566,0.69944,0.15821,31.2536872,75.7038367,0.710,270.30
19.020,-0.63207,4.21619,6.70376,-0.33720,-0.30360,-0.08308,31.2536872,75.7038367,0.710,270.30
19.131,1.12288,5.39414,10.02692,-0.13561,-0.48442,0.05315,31.2536872,75.7038367,0.710,270.30
19.240,1.71664,4.74770,12.68209,-0.52290,-0.01894,-0.50519,31.2536872,75.7038367,0.710,270.30
19.355,0.84515,3.24654,7.14190,0.36346,-0.42883,-0.76603,31.2536872,75.7038367,0.710,270.30
19.465,-1.43413,3.79002,7.88411,-0.33903,0.33048,-0.82467,31.2536872,75.7038367,0.710,270.30
19.576,-2.07098,5.13796,8.01339,-0.18937,-0.25534,0.04337,31.2536894,75.7038285,0.760,293.60
19.686,-3.58173,6.01423,9.24401,-0.19426,0.19731,0.53329,31.2536894,75.7038285,0.760,293.60
19.797,-3.56018,4.23534,10.90080,-0.51801,0.01649,0.45937,31.2536894,75.7038285,0.760,293.60
19.908,-2.24337,3.02388,8.70292,0.43433,0.92852,1.18813,31.2536894,75.7038285,0.760,293.60
20.019,-1.05824,3.14598,8.26957,0.11729,0.53512,0.81245,31.2536894,75.7038285,0.760,293.60
20.129,-0.56743,4.45082,7.51061,0.27794,0.21075,0.40806,31.2536894,75.7038285,0.760,293.60
20.241,-1.42694,5.60722,7.49146,0.46670,0.09041,-0.02443,31.2536894,75.7038285,0.760,293.60
20.351,-0.94810,5.00867,7.12514,-0.14172,-0.27733,-0.42516,31.2536894,75.7038285,0.760,293.60
20.462,-1.82438,3.33033,12.39478,-0.76969,-1.02625,-0.46609,31.2536894,75.7038285,0.760,293.60
20.572,0.84276,4.11084,8.19296,0.03238,-0.32803,-0.31337,31.2536894,75.7038285,0.760,293.60
20.681,-0.03591,4.12042,7.06289,-0.15211,-0.10263,-0.92729,31.2536894,75.7038217,0.910,281.70
20.790,-2.07098,5.09486,9.37569,-0.02566,-0.36591,-0.37568,31.2536894,75.7038217,0.910,281.70
20.900,-2.56180,6.15789,8.24324,0.30360,0.19303,0.07697,31.2536894,75.7038217,0.910,281.70
21.014,-2.59053,5.60722,8.45632,0.21808,0.40134,0.29505,31.2536894,75.7038217,0.910,281.70
21.123,-2.91853,3.65116,9.46907,0.53390,0.97066,0.97494,31.2536894,75.7038217,0.910,281.70
21.235,-1.58496,3.39258,6.56730,0.13500,0.07697,0.95173,31.2536894,75.7038217,0.910,281.70
21.345,-0.78051,5.09486,8.70771,0.03238,0.09529,0.68722,31.2536894,75.7038217,0.910,281.70
21.460,-0.11492,5.52342,8.99023,0.02749,0.24007,0.07453,31.2536894,75.7038217,0.910,281.70
21.570,0.61770,4.80756,7.62314,-0.11362,-0.40256,-0.30849,31.2536894,75.7038217,0.910,281.70
21.683,0.05986,4.64715,10.67335,-0.71654,-1.21318,-0.60720,31.2536892,75.7038114,0.650,287.10
21.793,0.50996,4.39815,7.88171,0.83017,-0.27978,-0.15394,31.2536892,75.7038114,0.650,287.10
21.906,0.79487,4.67588,5.84425,0.14661,-0.24740,-0.63225,31.2536892,75.7038114,0.650,287.10
22.015,-1.05105,5.38456,7.30710,-0.29810,-0.29627,-0.52168,31.2536892,75.7038114,0.650,287.10
22.127,-1.72143,6.09324,8.98544,0.00183,0.38485,0.18143,31.2536892,75.7038114,0.650,287.10
22.236,-0.45729,6.33985,9.60075,-0.31460,0.03604,-0.09957,31.2536892,75.7038114,0.650,287.10
22.348,-1.71904,4.06296,7.69496,0.60659,1.11972,0.16127,31.2536892,75.7038114,0.650,287.10
22.457,-0.48602,3.56975,8.27915,-0.28039,-0.00611,0.12401,31.2536892,75.7038114,0.650,287.10
22.573,-2.35829,4.79559,7.35499,0.27978,-0.04154,0.42699,31.2536892,75.7038114,0.650,287.10
22.682,0.52912,4.30477,8.81066,0.45082,-0.46426,0.16127,,,,
22.792,-0.00479,4.90093,6.77559,-0.41111,-0.72449,-0.99143,,,,
22.901,-1.09654,5.76763,8.31267,-0.26878,-1.12094,-1.20035,,,,
23.009,0.70150,4.61123,8.37731,0.37385,-0.31887,-0.61575,,,,
23.118,0.77812,4.50349,8.08043,-0.43249,-0.46242,-0.85460,,,,
23.229,-0.93134,5.73651,7.86495,-0.10201,-0.52718,-0.36163,,,,
23.339,-1.01754,5.93283,8.73165,0.21075,0.03238,-0.13500,,,,
23.453,-1.57299,4.77404,8.85376,0.15944,0.72876,0.14966,,,,
23.563,-2.05901,3.36385,12.63899,-0.89370,0.58582,0.86987,,,,
23.678,-0.62489,3.48835,7.55610,0.43066,-0.21686,0.87904,31.2536884,75.7037931,0.600,276.80
23.789,-0.86431,3.55539,7.97987,0.23763,0.66035,0.31032,31.2536884,75.7037931,0.600,276.80
23.899,0.78769,4.13718,7.79552,0.04154,-0.08552,-0.19975,31.2536884,75.7037931,0.600,276.80
24.007,0.09816,5.27443,9.08600,0.16310,-0.37446,-0.59559,31.2536884,75.7037931,0.600,276.80
24.117,-1.40779,5.03740,8.06367,-0.60842,-0.49969,-1.37078,31.2536884,75.7037931,0.600,276.80
24.226,-0.29928,3.81875,11.26472,-0.00855,0.07025,-0.29810,31.2536884,75.7037931,0.600,276.80
24.336,-0.27533,3.93607,5.67905,-0.47586,-0.14233,-0.66706,31.2536884,75.7037931,0.600,276.80
24.446,-1.67115,5.16908,8.29591,-0.02382,-0.40745,0.40928,31.2536884,75.7037931,0.600,276.80
24.558,-0.27054,6.45956,7.59441,0.45265,-0.30299,0.47831,31.2536884,75.7037931,0.600,276.80
24.668,-0.23224,6.28717,7.98227,-0.09774,-0.09346,0.03665,31.2536869,75.7037854,0.600,263.60
24.781,-0.46926,5.44202,7.67821,-0.34392,0.48930,0.10385,31.2536869,75.7037854,0.600,263.60
24.890,-2.32238,3.08134,12.07635,0.10568,1.84787,0.75564,31.2536869,75.7037854,0.600,263.60
25.002,-1.19471,2.75573,9.80904,-0.04459,0.49663,1.05252,31.2536869,75.7037854,0.600,263.60
25.112,-2.34632,2.85628,7.60877,0.37080,1.26144,0.53390,31.2536869,75.7037854,0.600,263.60
25.223,-0.18196,4.10606,7.39808,-0.27611,0.44288,-0.08247,31.2536869,75.7037854,0.600,263.60
25.334,1.21147,3.90494,9.84975,-0.13561,0.03299,-0.54306,31.2536869,75.7037854,0.600,263.60
25.445,-1.28329,3.85706,11.51850,-1.51311,-1.16064,-0.05925,31.2536869,75.7037854,0.600,263.60
25.554,-0.10056,3.27527,6.05972,0.81367,-0.68050,-0.17837,31.2536869,75.7037854,0.600,263.60
25.664,-1.71185,3.42371,8.60955,-0.69028,-0.47831,-0.70921,31.2536875,75.7037833,0.780,258.70
25.777,-1.01514,4.98712,10.19691,0.34331,-0.10934,-0.13317,31.2536875,75.7037833,0.780,258.70
25.887,-1.45328,3.88579,9.44034,0.42516,0.11423,0.00061,31.2536875,75.7037833,0.780,258.70
25.997,-1.94888,2.66714,7.71651,-0.50274,0.10873,-0.32315,31.2536875,75.7037833,0.780,258.70
26.105,-2.74136,1.30245,14.17846,-1.27121,1.13621,0.95600,31.2536875,75.7037833,0.780,258.70
26.215,-2.26013,2.93769,6.77080,0.08674,-0.44593,0.65607,31.2536875,75.7037833,0.780,258.70
26.324,-2.01592,2.07098,10.17057,0.35369,0.28833,0.06048,31.2536875,75.7037833,0.780,258.70
26.438,-0.19393,3.08373,7.20176,0.41417,-0.37507,-0.05498,31.2536875,75.7037833,0.780,258.70
26.546,-0.76375,2.65756,9.09557,-0.09468,-0.73670,-0.79718,31.2536875,75.7037833,0.780,258.70
26.658,-2.76291,2.58095,9.96946,-0.93829,-0.52473,-1.61879,31.2536842,75.7037747,0.650,262.60
26.767,-1.31681,2.82516,7.54652,0.80512,-0.35980,-0.57971,31.2536842,75.7037747,0.650,262.60
26.880,-1.67594,2.77488,9.96227,-0.08552,0.08369,-0.69394,31.2536842,75.7037747,0.650,262.60
